,price_eur_mwh,temperature_2m,wind_speed_10m,precipitation_mm,solar_radiation_W
2023-01-01 01:00:00+01:00,1.38,6.7450256,2.6529634,1.4003325,0.0
2023-01-01 02:00:00+01:00,0.09,6.788788,2.162854,1.195239,0.0
2023-01-01 03:00:00+01:00,0.08,6.770447,2.2425194,0.8806375,0.0
2023-01-01 04:00:00+01:00,0.05,6.767029,2.137281,0.679594,0.0
2023-01-01 05:00:00+01:00,0.0,6.659546,2.3411324,0.57485485,0.0
2023-01-01 06:00:00+01:00,-0.38,6.561035,2.6560795,0.5159297,0.0
2023-01-01 07:00:00+01:00,0.0,6.583252,2.9417095,0.4942686,0.0
2023-01-01 08:00:00+01:00,0.0,6.6384277,3.1244383,0.384165,0.0
2023-01-01 09:00:00+01:00,0.04,6.6564026,3.4124,0.4241188,0.021637235
2023-01-01 10:00:00+01:00,0.8,6.6311646,4.076505,0.39166,6.7607026
2023-01-01 11:00:00+01:00,0.08,7.209442,4.7949,0.4050007,31.03168
2023-01-01 12:00:00+01:00,0.04,7.180176,5.436991,0.43412673,55.80017
2023-01-01 13:00:00+01:00,0.0,7.233429,5.868825,0.37874433,76.727104
2023-01-01 14:00:00+01:00,0.85,7.2729797,6.2367954,0.28485096,70.90583
2023-01-01 15:00:00+01:00,23.53,7.3524475,6.148639,0.19479714,46.357063
2023-01-01 16:00:00+01:00,36.54,7.4027405,6.2723637,0.13043322,11.760969
2023-01-01 17:00:00+01:00,46.03,7.522705,6.683645,0.07285909,0.0016788656
2023-01-01 18:00:00+01:00,55.57,7.6332397,7.1804585,0.05586247,0.0
2023-01-01 19:00:00+01:00,54.95,7.7196045,7.515225,0.03579528,0.0
2023-01-01 20:00:00+01:00,49.23,7.754059,7.357407,0.03169521,0.0
2023-01-01 21:00:00+01:00,44.99,7.7879333,7.0575585,0.02615793,0.0
2023-01-01 22:00:00+01:00,45.96,7.8013306,6.5746975,0.02632484,0.0
2023-01-01 23:00:00+01:00,35.0,7.646698,5.824441,0.04370118,0.0
2023-01-02 00:00:00+01:00,57.91,7.51001,5.0560293,0.060923792,0.0
2023-01-02 01:00:00+01:00,51.67,7.322632,4.298608,0.081813514,0.0
2023-01-02 02:00:00+01:00,52.93,7.1671143,3.9764986,0.13910693,0.0
2023-01-02 03:00:00+01:00,44.16,7.0888977,3.6226976,0.21467973,0.0
2023-01-02 04:00:00+01:00,50.08,6.9978333,3.2116632,0.36241525,0.0
2023-01-02 05:00:00+01:00,77.09,6.929138,3.0237849,0.5801596,0.0
2023-01-02 06:00:00+01:00,105.08,6.9096375,2.7111564,0.74385387,0.0
2023-01-02 07:00:00+01:00,140.64,6.9116516,2.2614872,0.8700352,0.0
2023-01-02 08:00:00+01:00,145.98,6.9559326,1.7072589,0.63604283,0.0
2023-01-02 09:00:00+01:00,147.05,6.99469,1.1852574,0.7174576,0.01891904
2023-01-02 10:00:00+01:00,145.61,6.978485,0.8519453,0.65553,4.2221756
2023-01-02 11:00:00+01:00,143.35,6.850525,1.7098324,0.426658,17.016293
2023-01-02 12:00:00+01:00,144.38,6.808716,2.160998,0.2627743,27.547121
2023-01-02 13:00:00+01:00,143.76,6.7611084,2.4988523,0.19850355,32.908756
2023-01-02 14:00:00+01:00,148.2,6.7523804,3.0806768,0.15113977,46.994396
2023-01-02 15:00:00+01:00,155.34,6.6658936,3.3371453,0.1035629,40.503246
2023-01-02 16:00:00+01:00,162.89,6.4580994,3.3731184,0.1270583,13.111539
2023-01-02 17:00:00+01:00,170.0,6.306122,3.951318,0.16655953,0.0036679714
2023-01-02 18:00:00+01:00,174.74,6.280731,4.777048,0.23744287,0.0
2023-01-02 19:00:00+01:00,164.46,6.1140137,5.3861957,0.48784682,0.0
2023-01-02 20:00:00+01:00,153.0,5.923218,5.8497334,0.44599167,0.0
2023-01-02 21:00:00+01:00,141.67,5.6973267,5.97707,0.24056824,0.0
2023-01-02 22:00:00+01:00,134.91,5.4639893,6.0258937,0.10331054,0.0
2023-01-02 23:00:00+01:00,124.22,5.2256165,5.9485283,0.048934266,0.0
2023-01-03 00:00:00+01:00,130.01,5.0786133,5.7813644,0.0322212,0.0
2023-01-03 01:00:00+01:00,120.0,5.021942,5.504809,0.026213039,0.0
2023-01-03 02:00:00+01:00,118.76,4.957184,5.36204,0.03299311,0.0
2023-01-03 03:00:00+01:00,115.0,5.03006,5.1191325,0.03154743,0.0
2023-01-03 04:00:00+01:00,113.63,5.0519714,5.0429244,0.04846166,0.0
2023-01-03 05:00:00+01:00,116.27,5.0594177,5.0335293,0.038799625,0.0
2023-01-03 06:00:00+01:00,138.92,5.0364075,5.094628,0.03597991,0.0
2023-01-03 07:00:00+01:00,159.92,4.966461,4.9278803,0.027232049,0.0
2023-01-03 08:00:00+01:00,169.17,4.803192,4.497372,0.02051244,0.0
2023-01-03 09:00:00+01:00,171.18,4.693939,4.128367,0.015728991,0.074194305
2023-01-03 10:00:00+01:00,168.57,4.8339233,4.100534,0.021866042,21.201519
2023-01-03 11:00:00+01:00,169.49,5.2518616,3.960976,0.021939976,71.13389
2023-01-03 12:00:00+01:00,164.5,5.6308594,4.105759,0.025211176,110.26199
2023-01-03 13:00:00+01:00,160.91,5.7929993,4.1923714,0.028722914,121.81641
2023-01-03 14:00:00+01:00,163.06,5.863159,4.224159,0.023293998,100.65771
2023-01-03 15:00:00+01:00,167.73,5.6627502,4.176366,0.019156236,63.342487
2023-01-03 16:00:00+01:00,166.61,5.037445,4.0638046,0.014103309,15.954891
2023-01-03 17:00:00+01:00,170.72,4.5879517,4.278422,0.010440512,0.006924079
2023-01-03 18:00:00+01:00,168.93,4.346222,4.856255,0.015435265,0.0
2023-01-03 19:00:00+01:00,160.99,4.2308655,5.6028996,0.03036548,0.0
2023-01-03 20:00:00+01:00,149.62,4.146698,6.1868153,0.042804465,0.0
2023-01-03 21:00:00+01:00,130.99,4.23822,6.6305747,0.08727989,0.0
2023-01-03 22:00:00+01:00,114.27,4.423462,7.2728844,0.18794261,0.0
2023-01-03 23:00:00+01:00,93.66,4.763733,7.984924,0.4637081,0.0
2023-01-04 00:00:00+01:00,80.89,5.081299,8.46292,0.7680668,0.0
2023-01-04 01:00:00+01:00,70.67,5.409363,8.892016,1.0124654,0.0
2023-01-04 02:00:00+01:00,40.0,5.667267,9.289347,1.2055427,0.0
2023-01-04 03:00:00+01:00,8.68,5.9356995,9.644532,1.3543926,0.0
2023-01-04 04:00:00+01:00,0.85,6.1121216,9.794336,1.491519,0.0
2023-01-04 05:00:00+01:00,11.02,6.219818,9.752061,1.6234801,0.0
2023-01-04 06:00:00+01:00,61.02,6.319824,9.500449,1.9065568,0.0
2023-01-04 07:00:00+01:00,79.2,6.5283203,8.9741955,1.8061099,0.0
2023-01-04 08:00:00+01:00,84.2,6.83078,8.227255,1.4748024,0.0
2023-01-04 09:00:00+01:00,83.32,7.26593,7.3885756,1.2441088,0.01546875
2023-01-04 10:00:00+01:00,70.07,7.820648,7.0468802,1.2203755,2.656994
2023-01-04 11:00:00+01:00,79.74,8.214478,7.136925,0.9603094,11.502963
2023-01-04 12:00:00+01:00,80.89,8.655304,7.550651,0.59491444,24.694897
2023-01-04 13:00:00+01:00,79.72,8.911255,7.7925434,0.29914418,40.54779
2023-01-04 14:00:00+01:00,80.22,8.975525,7.8013806,0.29294598,39.410152
2023-01-04 15:00:00+01:00,79.74,8.848633,7.9643803,0.34496596,33.11163
2023-01-04 16:00:00+01:00,80.82,8.643311,8.212987,0.33744425,8.739293
