,price_eur_mwh,temperature_2m,wind_speed_10m,precipitation_mm,solar_radiation_W
2023-01-01 01:00:00+01:00,0.0,11.494659,2.5921292,0.1562902,0.0
2023-01-01 02:00:00+01:00,0.0,11.369293,2.6432297,0.1530994,0.0
2023-01-01 03:00:00+01:00,0.0,11.232758,2.7161586,0.15913461,0.0
2023-01-01 04:00:00+01:00,0.0,11.169861,2.8046327,0.16272177,0.0
2023-01-01 05:00:00+01:00,0.0,11.158081,2.885477,0.1695172,0.0
2023-01-01 06:00:00+01:00,0.0,11.105408,3.0059953,0.17045201,0.0
2023-01-01 07:00:00+01:00,0.0,11.135223,3.137141,0.1824442,0.0
2023-01-01 08:00:00+01:00,0.0,11.121796,3.2615447,0.2709265,0.0
2023-01-01 09:00:00+01:00,0.0,11.336487,3.269568,0.29185447,9.239966
2023-01-01 10:00:00+01:00,0.0,11.952911,3.3342555,0.27688304,86.95639
2023-01-01 11:00:00+01:00,0.0,13.084015,2.8539999,0.29450935,201.4474
2023-01-01 12:00:00+01:00,0.0,14.187805,3.07648,0.30277056,304.08017
2023-01-01 13:00:00+01:00,0.1,14.999573,3.200061,0.3007622,364.4359
2023-01-01 14:00:00+01:00,0.1,15.558746,3.1816862,0.30238304,380.25092
2023-01-01 15:00:00+01:00,0.01,15.79126,3.0434813,0.3326581,341.5803
2023-01-01 16:00:00+01:00,1.0,15.556274,2.8295975,0.3705918,251.75871
2023-01-01 17:00:00+01:00,4.16,14.987457,2.4731932,0.42031902,139.69763
2023-01-01 18:00:00+01:00,15.1,14.097382,2.2387958,0.42981923,32.87336
2023-01-01 19:00:00+01:00,19.51,13.379822,2.0519478,0.41394806,0.4482772
2023-01-01 20:00:00+01:00,24.61,12.951416,1.9677877,0.38289836,0.0
2023-01-01 21:00:00+01:00,40.07,12.643707,1.8736246,0.38788047,0.0
2023-01-01 22:00:00+01:00,40.07,12.369049,1.7878884,0.35024604,0.0
2023-01-01 23:00:00+01:00,16.0,12.049225,1.1815122,0.30253068,0.0
2023-01-02 00:00:00+01:00,61.38,11.789246,1.2421247,0.247977,0.0
2023-01-02 01:00:00+01:00,42.17,11.659943,1.1749223,0.20482482,0.0
2023-01-02 02:00:00+01:00,42.0,11.329498,1.1165943,0.17482169,0.0
2023-01-02 03:00:00+01:00,42.07,11.11554,1.0237249,0.1374589,0.0
2023-01-02 04:00:00+01:00,42.17,10.807465,0.95450145,0.12257436,0.0
2023-01-02 05:00:00+01:00,63.22,10.483826,0.9494839,0.10636563,0.0
2023-01-02 06:00:00+01:00,85.0,10.231476,0.8699832,0.10568455,0.0
2023-01-02 07:00:00+01:00,105.36,10.066895,0.83396506,0.09931944,0.0
2023-01-02 08:00:00+01:00,131.0,9.915588,0.73948944,0.1038672,0.0
2023-01-02 09:00:00+01:00,131.58,9.861877,0.6837986,0.094313376,7.414555
2023-01-02 10:00:00+01:00,127.0,10.26358,0.6338288,0.0885811,66.44803
2023-01-02 11:00:00+01:00,126.07,11.258179,0.24738103,0.08034534,157.71858
2023-01-02 12:00:00+01:00,127.0,11.996033,0.3997901,0.065778464,238.15799
2023-01-02 13:00:00+01:00,130.0,12.550629,0.64958054,0.06510782,294.8056
2023-01-02 14:00:00+01:00,131.0,12.905212,0.92175215,0.05637665,318.38785
2023-01-02 15:00:00+01:00,128.0,13.143707,1.134965,0.059585996,286.393
2023-01-02 16:00:00+01:00,131.88,13.084473,1.2245033,0.06192302,221.87671
2023-01-02 17:00:00+01:00,160.0,12.753815,1.2102901,0.05059393,126.70735
2023-01-02 18:00:00+01:00,174.74,11.969635,1.1433425,0.03708831,36.438786
2023-01-02 19:00:00+01:00,165.76,11.250275,1.120579,0.03210001,0.7529404
2023-01-02 20:00:00+01:00,153.0,10.819916,1.079674,0.032673497,0.0
2023-01-02 21:00:00+01:00,141.67,10.4644165,1.0125066,0.033358574,0.0
2023-01-02 22:00:00+01:00,134.91,10.102264,0.9592493,0.031181837,0.0
2023-01-02 23:00:00+01:00,124.22,9.698059,0.7791046,0.030940223,0.0
2023-01-03 00:00:00+01:00,130.01,9.406006,0.8590952,0.029553255,0.0
2023-01-03 01:00:00+01:00,120.0,9.152313,0.9497353,0.026146848,0.0
2023-01-03 02:00:00+01:00,118.76,8.914246,1.0253175,0.022499556,0.0
2023-01-03 03:00:00+01:00,115.0,8.650757,1.0591855,0.022076273,0.0
2023-01-03 04:00:00+01:00,113.63,8.410034,1.0902878,0.019483691,0.0
2023-01-03 05:00:00+01:00,116.27,8.27832,1.0908407,0.012051416,0.0
2023-01-03 06:00:00+01:00,138.92,8.034424,1.0913064,0.009695758,0.0
2023-01-03 07:00:00+01:00,155.59,7.9487,1.1001498,0.008524571,0.0
2023-01-03 08:00:00+01:00,169.17,7.860962,1.0798631,0.014239016,0.0
2023-01-03 09:00:00+01:00,171.18,7.845703,1.0543926,0.009595441,8.009097
2023-01-03 10:00:00+01:00,154.9,8.545532,1.0950334,0.0073998915,81.80162
2023-01-03 11:00:00+01:00,146.71,9.898254,0.8607347,0.00622479,200.99
2023-01-03 12:00:00+01:00,133.33,10.965546,0.8601282,0.00589837,310.10037
2023-01-03 13:00:00+01:00,130.0,11.882782,0.87204087,0.0045732646,381.30466
2023-01-03 14:00:00+01:00,126.0,12.530731,0.9552519,0.0041956883,412.15778
2023-01-03 15:00:00+01:00,120.0,13.037689,1.0888278,0.002460129,370.87622
2023-01-03 16:00:00+01:00,135.56,13.152618,1.1937184,0.0019515669,285.98508
2023-01-03 17:00:00+01:00,156.3,12.831146,1.2510816,0.0021530408,168.88622
2023-01-03 18:00:00+01:00,169.01,11.612213,1.2559344,0.002278744,48.169563
2023-01-03 19:00:00+01:00,160.99,10.54007,1.3769888,0.0011135093,0.9598845
2023-01-03 20:00:00+01:00,152.1,9.875427,1.479815,0.0012973306,0.0
2023-01-03 21:00:00+01:00,149.92,9.369598,1.5304936,0.0013267202,0.0
2023-01-03 22:00:00+01:00,132.53,8.946655,1.4960747,0.0018141324,0.0
2023-01-03 23:00:00+01:00,115.0,8.4192505,1.2825066,0.0021566371,0.0
2023-01-04 00:00:00+01:00,119.99,8.106476,1.2619717,0.003019231,0.0
2023-01-04 01:00:00+01:00,100.0,7.8883667,1.1887059,0.0029947571,0.0
2023-01-04 02:00:00+01:00,90.23,7.6368713,1.1446611,0.0023097661,0.0
2023-01-04 03:00:00+01:00,84.2,7.3838196,1.1225928,0.0021687946,0.0
2023-01-04 04:00:00+01:00,80.23,7.1762695,1.1525611,0.0020392258,0.0
2023-01-04 05:00:00+01:00,87.31,7.033539,1.1559997,0.0026690199,0.0
2023-01-04 06:00:00+01:00,109.0,6.832428,1.1758114,0.0031850461,0.0
2023-01-04 07:00:00+01:00,105.1,6.752838,1.2505445,0.00337363,0.0
2023-01-04 08:00:00+01:00,134.16,6.6521606,1.3105853,0.0040798457,0.0
2023-01-04 09:00:00+01:00,129.3,6.7627563,1.3511564,0.0038899288,8.3204975
2023-01-04 10:00:00+01:00,120.7,7.7962036,1.3939297,0.0031998497,89.13492
2023-01-04 11:00:00+01:00,96.77,9.510925,1.4393405,0.0028893286,212.72592
2023-01-04 12:00:00+01:00,105.03,10.782959,1.3732632,0.002227854,322.86627
2023-01-04 13:00:00+01:00,106.0,11.825745,1.252549,0.0018817035,403.64737
2023-01-04 14:00:00+01:00,105.07,12.726837,1.1287211,0.0018503957,425.09644
2023-01-04 15:00:00+01:00,103.9,13.373138,1.0727656,0.001766401,390.00006
2023-01-04 16:00:00+01:00,107.98,13.505737,1.070729,0.0013415217,305.5884
2023-01-04 17:00:00+01:00,129.82,13.157379,1.0880187,0.0010145465,178.42308
2023-01-04 18:00:00+01:00,167.29,11.790039,1.1308681,0.000801731,50.24539
2023-01-04 19:00:00+01:00,160.6,10.51062,1.3078244,0.0012676531,1.0333126
2023-01-04 20:00:00+01:00,151.55,9.781616,1.3532747,0.0016018385,0.0
2023-01-04 21:00:00+01:00,140.61,9.207001,1.3754554,0.0014304321,0.0
2023-01-04 22:00:00+01:00,126.58,8.775177,1.3329479,0.0015215011,0.0
2023-01-04 23:00:00+01:00,104.75,8.437561,1.3589453,0.0013736753,0.0
2023-01-05 00:00:00+01:00,95.05,8.152496,1.2819965,0.0014353048,0.0
2023-01-05 01:00:00+01:00,79.21,7.86084,1.2018231,0.0016313326,0.0
2023-01-05 02:00:00+01:00,68.07,7.635498,1.1758256,0.0019696015,0.0
2023-01-05 03:00:00+01:00,64.27,7.4548035,1.1491747,0.0017469797,0.0
2023-01-05 04:00:00+01:00,61.97,7.1822205,1.1222864,0.0014725802,0.0
2023-01-05 05:00:00+01:00,65.1,7.009247,1.0865637,0.0017491768,0.0
2023-01-05 06:00:00+01:00,95.05,6.7652893,1.0831246,0.0020795611,0.0
2023-01-05 07:00:00+01:00,108.23,6.662018,1.1041551,0.0028129637,0.0
2023-01-05 08:00:00+01:00,135.0,6.5724792,1.0857873,0.002846038,0.0
2023-01-05 09:00:00+01:00,123.27,6.60318,1.0638496,0.0027987268,8.929682
2023-01-05 10:00:00+01:00,104.97,7.6474915,1.0741742,0.0023238556,94.126015
2023-01-05 11:00:00+01:00,113.53,9.358673,0.99453515,0.0026838982,223.8383
2023-01-05 12:00:00+01:00,100.82,10.688843,0.8585283,0.001830249,339.23926
2023-01-05 13:00:00+01:00,96.44,11.83493,0.68150014,0.0012918492,413.02158
2023-01-05 14:00:00+01:00,93.9,12.636475,0.4798166,0.0010038501,434.25287
2023-01-05 15:00:00+01:00,91.16,13.208069,0.33100507,0.00052802364,397.55777
2023-01-05 16:00:00+01:00,94.43,13.30484,0.25179422,0.0002229999,312.09064
2023-01-05 17:00:00+01:00,118.9,12.895508,0.21193832,0.00023378294,185.63135
2023-01-05 18:00:00+01:00,163.2,11.607697,0.10988194,0.00016613933,53.335617
2023-01-05 19:00:00+01:00,177.98,10.312042,0.08682603,0.00013291244,1.167928
2023-01-05 20:00:00+01:00,163.99,9.429626,0.09137373,0.00025217925,0.0
2023-01-05 21:00:00+01:00,152.0,8.788086,0.17799242,0.00016757345,0.0
2023-01-05 22:00:00+01:00,135.0,8.29187,0.23736638,0.000110795365,0.0
2023-01-05 23:00:00+01:00,118.9,7.819092,0.43116614,0.0002234545,0.0
2023-01-06 00:00:00+01:00,107.21,7.537262,0.4488246,0.00048821027,0.0
2023-01-06 01:00:00+01:00,101.1,7.2339478,0.45797005,0.0006935525,0.0
