,price_eur_mwh,temperature_2m,wind_speed_10m,precipitation_mm,solar_radiation_W
2023-01-01 01:00:00+01:00,108.83,-0.08215332,2.2715433,0.00012979032,0.0
2023-01-01 02:00:00+01:00,102.39,-0.4789734,2.2791092,3.0247558e-05,0.0
2023-01-01 03:00:00+01:00,92.36,-0.82662964,2.5161471,0.00016115404,0.0
2023-01-01 04:00:00+01:00,82.66,-1.0802917,2.79664,0.00039561503,0.0
2023-01-01 05:00:00+01:00,79.58,-1.2284546,3.048621,0.0009260614,0.0
2023-01-01 06:00:00+01:00,77.65,-1.4006348,3.2109072,0.001860276,0.0
2023-01-01 07:00:00+01:00,66.27,-1.5757751,3.3220017,0.0040231175,0.0
2023-01-01 08:00:00+01:00,80.89,-1.8015442,3.4336815,0.005149691,0.0
2023-01-01 09:00:00+01:00,93.73,-1.8336487,3.610316,0.024436727,0.0
2023-01-01 10:00:00+01:00,106.05,-1.7153015,3.7293665,0.04457251,4.67992
2023-01-01 11:00:00+01:00,116.28,-1.4852905,4.0303144,0.088518,29.995537
2023-01-01 12:00:00+01:00,120.02,-1.1047363,4.138476,0.17987533,42.346714
2023-01-01 13:00:00+01:00,122.17,-1.022583,4.448305,0.30510128,43.886196
2023-01-01 14:00:00+01:00,120.11,-1.0823059,4.9593,0.43925774,33.738827
2023-01-01 15:00:00+01:00,120.71,-1.1797485,5.4042296,0.40882078,18.364206
2023-01-01 16:00:00+01:00,121.98,-1.2277832,5.489882,0.30273014,3.2133944
2023-01-01 17:00:00+01:00,122.16,-1.1354675,5.376771,0.29106417,0.0
2023-01-01 18:00:00+01:00,121.77,-1.0177917,5.1784043,0.3166706,0.0
2023-01-01 19:00:00+01:00,121.01,-0.79574585,4.9693007,0.35574582,0.0
2023-01-01 20:00:00+01:00,120.4,-0.61828613,4.660102,0.37726203,0.0
2023-01-01 21:00:00+01:00,119.6,-0.4610901,4.604018,0.3111706,0.0
2023-01-01 22:00:00+01:00,116.24,-0.18951416,4.208531,0.2018478,0.0
2023-01-01 23:00:00+01:00,115.45,-0.56121826,3.8328426,0.114317,0.0
2023-01-02 00:00:00+01:00,119.96,-0.6376953,4.0363555,0.074816644,0.0
2023-01-02 01:00:00+01:00,119.19,-0.6960144,4.1408057,0.028542489,0.0
2023-01-02 02:00:00+01:00,118.18,-0.70028687,4.2452326,0.020564387,0.0
2023-01-02 03:00:00+01:00,118.11,-0.63446045,4.147564,0.067238845,0.0
2023-01-02 04:00:00+01:00,119.99,-0.56243896,4.289312,0.07984611,0.0
2023-01-02 05:00:00+01:00,117.74,-0.41812134,4.1920104,0.17080694,0.0
2023-01-02 06:00:00+01:00,121.73,-0.3630066,4.2590766,0.20077994,0.0
2023-01-02 07:00:00+01:00,138.19,-0.24349976,4.2352705,0.2569422,0.0
2023-01-02 08:00:00+01:00,145.98,-0.12524414,4.292626,0.28336552,0.0
2023-01-02 09:00:00+01:00,148.95,-0.052612305,4.2954726,0.19989996,0.0
2023-01-02 10:00:00+01:00,149.96,-0.019927979,4.3021812,0.18642698,2.4166021
2023-01-02 11:00:00+01:00,147.63,0.14456177,4.068257,0.17144732,19.885881
